ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
251,2023/2/3,12:44:10,54,ON,1,クランプ不良
252,2023/2/3,12:42:27,53,ON,1,クランプ不良
253,2023/2/3,12:42:06,52,ON,1,クランプ不良
254,2023/2/3,12:41:46,51,ON,1,クランプ不良
255,2023/2/3,12:41:33,50,ON,1,クランプ不良
256,2023/2/3,12:41:17,49,ON,1,クランプ不良
257,2023/2/3,12:41:05,48,ON,1,クランプ不良
258,2023/2/3,12:38:31,47,ON,1,クランプ不良
259,2023/2/3,11:15:31,824,ON,34,ワーク無し異常
260,2023/2/3,10:21:36,46,ON,1,クランプ不良
261,2023/2/3,10:08:10,925,ON,2,横穴未貫通異常
262,2023/2/3,10:02:11,45,ON,1,クランプ不良
263,2023/2/28,9:18:09,433,ON,4,首下位置不良
264,2023/2/28,9:17:50,944,ON,2,横穴未貫通異常
265,2023/2/28,19:14:02,846,ON,34,ワーク無し異常
266,2023/2/28,19:14:02,168,ON,3,ノッチ前進不良
267,2023/2/28,13:15:29,845,ON,34,ワーク無し異常
268,2023/2/28,13:09:26,24,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
269,2023/2/28,11:38:04,844,ON,34,ワーク無し異常
270,2023/2/28,10:05:29,843,ON,34,ワーク無し異常
271,2023/2/27,20:01:50,842,ON,34,ワーク無し異常
272,2023/2/27,15:23:18,943,ON,2,横穴未貫通異常
273,2023/2/27,14:28:34,432,ON,4,首下位置不良
274,2023/2/10,16:26:24,11,ON,53,首下位置ｾﾝｻｰ異常
275,2023/2/10,16:20:01,841,ON,34,ワーク無し異常
276,2023/2/10,15:51:25,942,ON,2,横穴未貫通異常
277,2023/2/10,15:34:39,431,ON,4,首下位置不良
278,2023/2/10,12:55:35,941,ON,2,横穴未貫通異常
279,2023/2/10,12:19:24,840,ON,34,ワーク無し異常
280,2023/2/10,10:55:30,237,ON,0,安全クラッチ異常
281,2023/2/1,16:18:03,163,ON,3,ノッチ前進不良
282,2023/2/1,13:48:01,823,ON,34,ワーク無し異常
283,2023/2/1,12:31:40,924,ON,2,横穴未貫通異常
284,2023/2/1,12:26:59,923,ON,2,横穴未貫通異常
285,2023/2/1,11:20:08,922,ON,2,横穴未貫通異常
286,2023/2/1,11:04:37,921,ON,2,横穴未貫通異常
287,2023/1/9,9:44:14,867,ON,2,横穴未貫通異常
288,2023/1/9,9:36:56,423,ON,4,首下位置不良
289,2023/1/9,9:36:32,866,ON,2,横穴未貫通異常
